Employee_ID,EmployeeName,Gender,FixedEmployeeName,Position,EducationField,FixEducationField,Base_anual_salary,FixedBase_anual_salary,HireDate,FixHireDate,Satisfaction_level,Work_remotely,Emp_Address
2,Nathan Ford,Male ,Nathan Ford,Mannager C,Life Sciences,Life Sciences,"31,000 €",31000,Sunday 14 April 2013,14/04/2013,0.38,No,"T23   CORK CITY, CORK COUNTY, IE"
3,gary jimenez,Male,Gary Jimenez,Manager A,Life Sciences,Life Sciences,"45,000 €",45000,Tuesday 10 July 2012,10/07/2012,0.8,No,"181  GRANADA, ANDALUCIA, SP"
4,Albert Pardini,Male,Albert Pardini,Manager A,Other,Other,"45,000 €",45000,Thursday 7 August 2014,07/08/2014,0.11,No,"A94  DUBLIN, DUBLIN, IE"
5,CristopheR Chong,Male,Cristopher Chong,Technical support B,Life Sciences,Life Sciences,"31,000 €",31000,01/07/2010,01/07/2010,0.72,No,"H91 GALWAY, GALWAY, IE"
6,PATRICK GARDNER,Female,Patrick Gardner,Operator,Medical,Medical,"31,000 €",31000,14/11/2020,14/11/2020,0.37,No,"71  PALMA, BALEARIC ISLANDS, IE"
7,DAVID SULLIVAN,Female ,David Sullivan,Administrative,Life Sciences,Life Sciences,"31,000 €",31000,Thursday 11 February 2016,11/02/2016,0.41,Yes,"T23   CORK CITY, CORK COUNTY, IE"
8,ALSON LEE,Female,Alson Lee,Manager A,Medical,Medical,"16,000 €",16000,Thursday 16 March 2017,16/03/2017,0.1,No,"181  GRANADA, ANDALUCIA, SP"
9,DAVID KUSHNER,Female,David Kushner,Operator,Life Sciences,Life Sciences,"31,000 €",31000,19/05/2013,19/05/2013,0.92,No,"A94  DUBLIN, DUBLIN, IE"
10,MICHAEL MORRIS,Female,Michael Morris,Mannager A,Life Sciences,Life Sciences,"35,000 €",35000,02/12/2016,02/12/2016,0.89,No,"H91 GALWAY, GALWAY, IE"
11,JOANNE HAYES-WHITE,Female,Joanne Hayes-White,Mannager A,Medical,Medical,,,Saturday 14 April 2018,14/04/2018,0.42,No,
12,ARTHUR KENNEY,Female,Arthur Kenney,Technical support B,     Medical,Medical,,,Monday 13 May 2019,13/05/2019,0.45,No,
13,PATRICIA JACKSON,Female,Patricia Jackson,Commercial sales,Life   Sciences  ,Life Sciences,,,Monday 28 June 2021,28/06/2021,0.11,No,
14,EDWARD HARRINGTON,Female,Edward Harrington,Manager A,Life Sciences,Life Sciences,,,Monday 12 January 2015,12/01/2015,0.84,Yes,
15,JOHN MARTIN,Female,John Martin,Technical support A,          Medical,Medical,"16,000 €",16000,21/09/2011,21/09/2011,0.41,No,"T23   CORK CITY, CORK COUNTY, IE"
16,DAVID FRANKLIN,Female,David Franklin,Administrative,Life Sciences   ,Life Sciences,"25,000 €",25000,03/03/2019,03/03/2019,0.36,No,"181  GRANADA, ANDALUCIA, SP"
17,RICHARD CORRIEA,Female,Richard Corriea,Manager A,Life Sciences,Life Sciences,"31,000 €",31000,28/10/2018,28/10/2018,0.38,Yes,"A94  DUBLIN, DUBLIN, IE"
18,AMY HART,Female,Amy Hart,Manager A,Life Sciences,Life Sciences,"25,000 €",25000,Saturday 30 July 2022,30/07/2022,0.45,No,"H91 GALWAY, GALWAY, IE"
19,SEBASTIAN WONG,Female,Sebastian Wong,Manager B,Medical,Medical,"45,000 €",45000,Sunday 14 August 2011,14/08/2011,0.78,No,"261  LA RIOJA, SPAIN, SP"
